Exported SMaRT Impedance Data
Experiment start time : 10/23/2006 10:08:29 AM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Temperature ('C),Impedance Magnitude (Ohms),Impedance Phase Degrees ('),Impedance Real (Ohms),Impedance Imaginary (Ohms)
18,1,18,00:01:19,1467.799,3,0,-,1.682755E+09,-89.91673,2445968,-1.682753E+09,
19,1,19,00:01:23,1000,3,0,-,2.478962E+09,-89.94378,2433268,-2.478961E+09,
20,1,20,00:01:26,681.2921,3,0,-,3.641157E+09,-90.00833,-531153.9,-3.641157E+09,
21,1,21,00:01:30,464.1589,3,0,-,5.348652E+09,-90.0755,-7051638,-5.348647E+09,
22,1,22,00:01:33,316.2278,3,0,-,7.851131E+09,-89.97344,3640897,-7.85113E+09,
23,1,23,00:01:38,215.4435,3,0,-,1.151713E+10,-90.07681,-1.544702E+07,-1.151712E+10,
24,1,24,00:01:42,146.7799,3,0,-,3.071551E+10,-87.19044,1.505577E+09,-3.067859E+10,
25,1,25,00:01:45,100,3,0,-,4.426322E+10,-86.65733,2.580897E+09,-4.418791E+10,
26,1,26,00:01:49,68.1292,3,0,-,6.456476E+10,-85.35978,5.223216E+09,-6.435314E+10,
27,1,27,00:01:52,46.41589,3,0,-,9.118038E+10,-86.40598,5.715792E+09,-9.100104E+10,
28,1,28,00:01:56,31.62278,3,0,-,1.311821E+11,-87.15702,6.506541E+09,-1.310206E+11,
29,1,29,00:02:00,21.54435,3,0,-,1.908517E+11,-87.53133,8.220633E+09,-1.906746E+11,
30,1,30,00:02:05,14.67799,3,0,-,2.826368E+11,-88.35057,8.135492E+09,-2.825197E+11,
31,1,31,00:02:10,10,3,0,-,4.139431E+11,-88.85783,8.251328E+09,-4.138609E+11,
32,1,32,00:02:17,6.812921,3,0,-,6.067472E+11,-89.242,8.026974E+09,-6.066941E+11,
33,1,33,00:02:25,4.641589,3,0,-,8.900558E+11,-89.27505,1.126173E+10,-8.899846E+11,
34,1,34,00:02:36,3.162277,3,0,-,1.308427E+12,-89.27425,1.65736E+10,-1.308322E+12,
35,1,35,00:02:50,2.154435,3,0,-,1.908929E+12,-89.7023,9.919068E+09,-1.908903E+12,
36,1,36,00:03:07,1.467799,3,0,-,2.752972E+12,-89.10425,4.303867E+10,-2.752635E+12,
37,1,37,00:03:30,1,3,0,-,3.925189E+12,-87.42648,1.762473E+11,-3.92123E+12,
41,2,4,00:03:49,1,3,0,-,3.75738E+12,-97.71994,-5.047344E+11,-3.723325E+12,
42,2,5,00:03:58,0.4641589,3,0,-,7.708325E+12,-81.09844,1.192767E+12,-7.615483E+12,
43,2,6,00:04:10,0.2154435,3,0,-,2.677283E+13,-70.83874,8.787599E+12,-2.528957E+13,
44,2,7,00:04:38,0.1,3,0,-,1.811863E+13,-79.88708,3.181434E+12,-1.783713E+13,
45,2,8,00:05:25,0.04641589,3,0,-,1.104347E+14,-101.9421,-2.285159E+13,-1.080446E+14,
46,2,9,00:07:48,0.02154435,3,0,-,3.802709E+14,-99.80371,-6.47501E+13,-3.747178E+14,
47,2,10,00:11:13,0.01,3,0,-,5.446898E+13,129.0662,-3.432733E+13,4.229071E+13,
48,2,11,00:18:29,0.004641589,3,0,-,1.10284E+15,-166.6075,-1.072849E+15,-2.554403E+14,
49,2,12,00:41:07,0.002154435,3,0,-,3.105422E+14,150.0648,-2.691129E+14,1.549667E+14,
50,2,13,01:32:03,0.001,3,0,-,5.990348E+14,92.3373,-2.443006E+13,5.985364E+14,
51,3,1,01:32:12,1000000,3,0,-,1611620,-80.72449,259764.4,-1590548,
52,3,2,01:32:15,681292.1,3,0,-,3156173,-78.98695,602932.8,-3098048,
53,3,3,01:32:20,464158.9,3,0,-,5505776,-78.83956,1065683,-5401656,
54,3,4,01:32:23,316227.8,3,0,-,8712208,-80.37109,1457261,-8589468,
55,3,5,01:32:26,215443.5,3,0,-,1.334526E+07,-80.50822,2200719,-1.316255E+07,
56,3,6,01:32:30,146779.9,3,0,-,2.08398E+07,-83.16879,2478794,-2.069185E+07,
57,3,7,01:32:33,100000,3,0,-,2.930572E+07,-81.99231,4082472,-2.901997E+07,
58,3,8,01:32:36,68129.2,3,0,-,4.094897E+07,-83.12827,4899442,-4.065481E+07,
59,3,9,01:32:42,46415.89,3,0,-,5.728721E+07,-85.75867,4236845,-5.713032E+07,
60,3,10,01:32:45,31622.78,3,0,-,8.438058E+07,-89.5377,680847,-8.437784E+07,
61,3,11,01:32:48,21544.35,3,0,-,1.263557E+08,-90.96265,-2122874,-1.263379E+08,
62,3,12,01:32:52,14677.99,3,0,-,1.828804E+08,-91.72955,-5519707,-1.827971E+08,
63,3,13,01:32:55,10000,3,0,-,2.68316E+08,-90.69141,-3237846,-2.682964E+08,
64,3,14,01:32:58,6812.921,3,0,-,3.910017E+08,-89.73994,1774778,-3.909976E+08,
65,3,15,01:33:02,4641.589,3,0,-,5.697186E+08,-89.36046,6359317,-5.696831E+08,
66,3,16,01:33:05,3162.278,3,0,-,8.209725E+08,-89.25098,1.073237E+07,-8.209023E+08,
67,3,17,01:33:08,2154.435,3,0,-,1.202377E+09,-89.24429,1.585873E+07,-1.202273E+09,
68,3,18,01:33:12,1467.799,3,0,-,1.694451E+09,-89.87477,3704108,-1.694447E+09,
69,3,19,01:33:15,1000,3,0,-,2.476556E+09,-89.89758,4427736,-2.476552E+09,
70,3,20,01:33:19,681.2921,3,0,-,3.636854E+09,-90.06375,-4047364,-3.636851E+09,
71,3,21,01:33:22,464.1589,3,0,-,5.343425E+09,-89.95969,3760594,-5.343423E+09,
72,3,22,01:33:26,316.2278,3,0,-,7.836686E+09,-89.91563,1.154166E+07,-7.836677E+09,
73,3,23,01:33:31,215.4435,3,0,-,1.150169E+10,-89.96477,7075995,-1.150169E+10,
74,3,24,01:33:34,146.7799,3,0,-,3.064778E+10,-87.24361,1.473847E+09,-3.061232E+10,
75,3,25,01:33:38,100,3,0,-,4.423405E+10,-86.7124,2.536743E+09,-4.416125E+10,
76,3,26,01:33:41,68.1292,3,0,-,6.520027E+10,-86.82142,3.615261E+09,-6.509996E+10,
77,3,27,01:33:45,46.41589,3,0,-,9.10941E+10,-86.37717,5.756108E+09,-9.091206E+10,
78,3,28,01:33:49,31.62278,3,0,-,1.311088E+11,-87.35973,6.039567E+09,-1.309696E+11,
79,3,29,01:33:53,21.54435,3,0,-,1.902806E+11,-87.76841,7.409368E+09,-1.901363E+11,
80,3,30,01:33:58,14.67799,3,0,-,2.825877E+11,-88.47057,7.542514E+09,-2.82487E+11,
81,3,31,01:34:03,10,3,0,-,4.139783E+11,-88.8751,8.12731E+09,-4.138985E+11,
82,3,32,01:34:09,6.812921,3,0,-,6.066024E+11,-89.26047,7.829529E+09,-6.065519E+11,
83,3,33,01:34:17,4.641589,3,0,-,8.895419E+11,-89.52138,7.431093E+09,-8.895108E+11,
84,3,34,01:34:27,3.162277,3,0,-,1.303129E+12,-89.76268,5.398001E+09,-1.303117E+12,
85,3,35,01:34:40,2.154435,3,0,-,1.916009E+12,-89.72458,9.210855E+09,-1.915987E+12,
86,3,36,01:34:57,1.467799,3,0,-,2.752976E+12,-89.08162,4.412566E+10,-2.752623E+12,
87,3,37,01:35:20,1,3,0,-,3.276899E+12,-72.82625,9.675723E+11,-3.130794E+12,
88,4,1,01:35:25,10,3,0,-,4.082001E+11,-88.6282,9.77251E+09,-4.080831E+11,
89,4,2,01:35:29,4.641589,3,0,-,9.69108E+11,-94.54263,-7.675488E+10,-9.660637E+11,
90,4,3,01:35:33,2.154435,3,0,-,1.905861E+12,-89.81237,6.24199E+09,-1.905851E+12,
91,4,4,01:35:39,1,3,0,-,3.794408E+12,-97.15155,-4.723818E+11,-3.764889E+12,
92,4,5,01:35:48,0.4641589,3,0,-,7.833244E+12,-81.72817,1.126968E+12,-7.751752E+12,
93,4,6,01:36:00,0.2154435,3,0,-,3.196462E+13,-29.97872,2.768811E+13,-1.597203E+13,
94,4,7,01:36:28,0.1,3,0,-,3.861326E+13,-83.23952,4.545523E+12,-3.834478E+13,
95,4,8,01:37:15,0.04641589,3,0,-,1.395795E+14,24.74572,1.267625E+14,5.842684E+13,
96,4,9,01:38:52,0.02154435,3,0,-,1.665451E+14,-94.61099,-1.338856E+13,-1.660061E+14,
