Exported SMaRT Impedance Data
Experiment start time : 10/23/2006 11:48:09 AM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Temperature ('C),Impedance Magnitude (Ohms),Impedance Phase Degrees ('),Impedance Real (Ohms),Impedance Imaginary (Ohms)
30,1,30,00:02:03,14.67799,0.1,0,-,0.9664877,67.5955,0.3683704,0.8935333,
31,1,31,00:02:08,10,0.1,0,-,1.37788,73.59795,0.3890802,1.321805,
32,1,32,00:02:14,6.812921,0.1,0,-,2.242788,75.89046,0.5467393,2.175126,
33,1,33,00:02:22,4.641589,0.1,0,-,2.937095,81.51783,0.4332274,2.904968,
34,1,34,00:02:32,3.162277,0.1,0,-,4.724768,84.64169,0.441218,4.704121,
35,1,35,00:02:45,2.154435,0.1,0,-,5.810238,87.35223,0.2684113,5.804035,
36,1,36,00:03:01,1.467799,0.1,0,-,9.826608,87.26937,0.4681464,9.81545,
37,1,37,00:03:24,1,0.1,0,-,13.02492,86.87308,0.7104868,13.00552,
41,2,4,00:03:44,1,0.1,0,-,21.04611,70.40793,7.057214,19.82762,
42,2,5,00:03:54,0.4641589,0.1,0,-,51.62663,70.70654,17.0578,48.7272,
43,2,6,00:04:06,0.2154435,0.1,0,-,44.80828,130.2943,-28.97816,34.17672,
44,2,7,00:04:29,0.1,0.1,0,-,105.8306,-76.6041,24.51868,-102.9512,
45,2,8,00:05:39,0.04641589,0.1,0,-,605.6429,97.32642,-77.23291,600.6983,
46,2,9,00:08:09,0.02154435,0.1,0,-,1202.057,35.53331,978.2072,698.6067,
47,2,10,00:13:15,0.01,0.1,0,-,1217.264,27.86205,1076.153,568.8816,
48,2,11,00:24:09,0.004641589,0.1,0,-,3633.896,115.6156,-1571.049,3276.737,
49,2,12,00:49:45,0.002154435,0.1,0,-,6105.528,56.26745,3390.504,5077.594,
50,2,13,01:40:13,0.001,0.1,0,-,3179.039,139.4145,-2414.277,2068.225,
51,3,1,01:40:20,1000000,0.1,0,-,18.28646,48.89985,12.0211,13.77997,
52,3,2,01:40:23,681292.1,0.1,0,-,8.905593,66.95049,3.486778,8.194631,
53,3,3,01:40:28,464158.9,0.1,0,-,5.329179,71.62869,1.679619,5.057571,
54,3,4,01:40:31,316227.8,0.1,0,-,3.502029,72.03624,1.080081,3.331311,
55,3,5,01:40:34,215443.5,0.1,0,-,2.434704,69.88441,0.8373324,2.286188,
56,3,6,01:40:38,146779.9,0.1,0,-,1.761246,66.72493,0.6959495,1.617913,
57,3,7,01:40:41,100000,0.1,0,-,1.32649,63.71779,0.5873605,1.189363,
58,3,8,01:40:44,68129.2,0.1,0,-,1.00841,61.70367,0.4780184,0.8879126,
59,3,9,01:40:50,46415.89,0.1,0,-,0.7504143,57.86234,0.3991869,0.63543,
60,3,10,01:40:53,31622.78,0.1,0,-,0.5335287,51.28858,0.333668,0.4163155,
61,3,11,01:40:56,21544.35,0.1,0,-,0.43325,36.66197,0.3475411,0.2586904,
62,3,12,01:40:59,14677.99,0.1,0,-,0.3974989,26.78279,0.3548557,0.1791167,
63,3,13,01:41:02,10000,0.1,0,-,0.3725243,20.53297,0.348858,0.1306615,
64,3,14,01:41:05,6812.921,0.1,0,-,0.3659098,15.92489,0.351867,0.1003972,
65,3,15,01:41:08,4641.589,0.1,0,-,0.3508224,13.1721,0.3415923,7.994424E-02,
66,3,16,01:41:11,3162.278,0.1,0,-,0.3505983,12.02287,0.3429078,7.303035E-02,
67,3,17,01:41:15,2154.435,0.1,0,-,0.3319966,6.737585,0.3297037,3.895056E-02,
68,3,18,01:41:18,1467.799,0.1,0,-,0.3356819,4.751849,0.3345281,0.027808,
69,3,19,01:41:21,1000,0.1,0,-,0.3390673,4.940511,0.3378075,2.920093E-02,
70,3,20,01:41:25,681.2921,0.1,0,-,0.3480123,4.64553,0.346869,2.818585E-02,
71,3,21,01:41:28,464.1589,0.1,0,-,0.327731,4.47153,0.3267335,2.555113E-02,
72,3,22,01:41:31,316.2278,0.1,0,-,0.3377917,3.018347,0.3373231,1.778666E-02,
73,3,23,01:41:36,215.4435,0.1,0,-,0.4198254,8.226668,0.4155053,6.007265E-02,
74,3,24,01:41:39,146.7799,0.1,0,-,0.3568934,12.18769,0.3488494,7.534545E-02,
75,3,25,01:41:43,100,0.1,0,-,0.3366382,19.55574,0.3172196,0.1126808,
76,3,26,01:41:46,68.1292,0.1,0,-,0.371323,37.17335,0.2958743,0.2243639,
77,3,27,01:41:50,46.41589,0.1,0,-,0.5154551,33.52924,0.4296855,0.284718,
78,3,28,01:41:53,31.62278,0.1,0,-,0.5245216,56.25755,0.2913512,0.4361621,
79,3,29,01:41:57,21.54435,0.1,0,-,0.7221248,64.46279,0.3113061,0.6515771,
80,3,30,01:42:02,14.67799,0.1,0,-,1.01687,67.21478,0.3938113,0.9375162,
81,3,31,01:42:07,10,0.1,0,-,1.478837,70.05572,0.5044408,1.390143,
82,3,32,01:42:13,6.812921,0.1,0,-,2.2267,78.46128,0.4454077,2.181698,
83,3,33,01:42:21,4.641589,0.1,0,-,2.885473,82.92484,0.3554083,2.863501,
84,3,34,01:42:31,3.162277,0.1,0,-,4.70683,86.24299,0.3084176,4.696714,
85,3,35,01:42:44,2.154435,0.1,0,-,6.848461,85.3352,0.5569619,6.825775,
86,3,36,01:43:00,1.467799,0.1,0,-,9.514207,83.08224,1.145937,9.444943,
87,3,37,01:43:23,1,0.1,0,-,14.50915,80.71827,2.340172,14.31919,
88,4,1,01:43:30,10,0.1,0,-,1.143268,97.71548,-0.1534886,1.132918,
89,4,2,01:43:33,4.641589,0.1,0,-,2.560504,74.09401,0.7017317,2.462469,
90,4,3,01:43:38,2.154435,0.1,0,-,6.326598,97.00809,-0.771906,6.279331,
91,4,4,01:43:43,1,0.1,0,-,17.76225,75.50529,4.445726,17.19689,
92,4,5,01:43:53,0.4641589,0.1,0,-,47.05463,57.96112,24.96224,39.88765,
93,4,6,01:44:05,0.2154435,0.1,0,-,40.42594,101.3465,-7.953478,39.63583,
94,4,7,01:44:28,0.1,0.1,0,-,168.8152,-141.348,-131.8369,-105.4399,
95,4,8,01:45:59,0.04641589,0.1,0,-,957.5928,78.16074,196.4666,937.2219,
96,4,9,01:48:28,0.02154435,0.1,0,-,385.5334,30.74442,331.3491,197.0882,
97,4,10,01:51:52,0.01,0.1,0,-,2154.214,67.27883,832.0587,1987.037,
